id,title,album,artist_name,genre,year,length,bitrate,lyrics,album_id,artist_id
2946,Another Part of Me,Live at Wembley 7.16.1988,Michael Jackson,Pop,2012,214778,230940,,549,443
2947,Human,Live From The Royal Albert Hall,The Killers,Rock,2009,254720,196456,,1062,286
2948,The Power Of Love,Live In Paris,Celine Dion,R&B,1996,285503,160000,,735,490
2949,Real World '09,"Live in Vancouver, 2009.10.14",Rob Thomas,Rock,2009,184502,156230,,1041,602
2950,Burn It Down,Living Things,Linkin Park,Rock,2012,231915,320000,,1015,156
2951,Zoom ,"LL Cool J, Mixed",LL Cool J,Hip-Hop,1995,232717,128000,,1162,2123
2952,Black,Lock Out,Waka Flocka & French Montana,Hip-Hop,2011,248676,320000,,360,280
2953,Cheers (Drink To That),Loud (Deluxe),Rihanna,R&B,2010,261773,320000,,884,452
2954,Dear Old Southland,Louis Armstrong,Louis Armstrong,Jazz,1994,170949,160000,,423,383
2955,BlackbirdYesterday,Love,The Beatles,Pop,2006,151980,320000,,624,458
2956,Glass Onion,Love,The Beatles,Pop,2006,80692,320000,,624,458
2957,She's Got a Boyfriend Now,Love Drunk,Boys Like Girls,Rock,2009,245452,320000,,974,583
2958,Open Your Eyes,Love in the Future (Deluxe Edition),John Legend,R&B,2013,186853,320000,,775,525
2959,F.I.L.A. (Produced By The Dream),Love King,The Dream,R&B,2010,251712,320000,,903,557
2960,Number One Hit,Love Letter,R. Kelly,R&B,2010,265614,320000,,879,549
2961,Up In The Air,Love Lust Faith + Dreams,30 Seconds To Mars,Rock,2013,272483,320000,,967,6
2962,Lucille,Love Songs,Kenny Rogers,Country,1997,218150,320000,,92,40
2963,I Can't Give You Anything But Love,Love Songs,Louis Armstrong,Jazz,1990,212448,160000,,424,383
2964,Kiss and Say Goodbye,Love Songs,UB40,Reggaeton,2009,193985,320000,,954,576
2965,Walkin On The Moon (ft Kanye West),Love Vs Money,The Dream,R&B,2009,254693,193492,,904,557
2966,Without You,Love Zone,Billy Ocean,Soul,1986,300329,192000,,1096,481
2967,Hurt You,"Love, Marriage & Divorce",Babyface,R&B,2014,251752,320000,,678,475
2968,Incredible (Ne-Yo),Loved Me Back to Life,Celine Dion,R&B,2013,236329,320000,,736,490
2969,Tennessee,Low Kii Savage,Kiiara,Electropop,2016,259957,256000,,1202,2638
2970,Out On Bail,Loyal To The Game,2Pac,Hip-Hop,2004,234635,320000,,170,166
2971,Mama Said,Lukas Graham (Blue Album),Lukas Graham,Pop,2016,208587,192006,,1203,2639
2972,Love Like This,Lyrics,Donell Jones,R&B,2010,217155,198614,,753,492
2973,Rick James Ft. T.I.,M.O. (Deluxe Edition),Nelly,Hip-Hop,2013,226224,320000,,315,259
2974,Rick James Ft. T.I.,M.O. (Deluxe Edition),Nelly,Hip-Hop,2013,226224,320000,,315,259
