id,title,album,artist_name,genre,year,length,bitrate,lyrics,album_id,artist_id
1,Good Ol' 39 Days,#3 (Deluxe Version),The Script,Alternative Rock,2012,264045,320000,,54,26
2,A Great Big Sled (feat. Toni Halliday),(RED) Christmas EP,The Killers,Holiday,2011,259030,320000,,375,286
3,Brutal Love,¡TRÉ!,Green Day,Rock,2012,296356,320000,,1000,591
4,Love Me Do,1,The Beatles,Pop,2000,141349,192000,,617,458
5,Low Low (ft Tee Cee & Nipsey Hussle & RJ),10 Summers,DJ Mustard,Hip-Hop,2014,156290,320000,,204,183
6,Chandelier,1000 Forms Of Fear,Sia,Pop,2014,216120,320000,,610,74
7,Around and Around,12 X 5,The Rolling Stones,Rock & Roll,1964,185260,200494,,1070,614
8,Price To Play,14 Shades Of Grey,Staind,Rock,2003,217469,320000,,1050,605
9,Right Where I Belong,17 days,3 Doors Down,Rock,2003,265287,128000,,966,577
10,Green Valley,18 Months,Calvin Harris,Electronic,2012,109165,320000,,128,89
11,Fuckin Crack,187,Tyga,Hip-Hop,2012,176065,320000,,352,279
12,Daydreams,19 (Deluxe Edition),Adele,Pop,2008,220551,161719,,476,81
13,The Ghost Of You,19 Love Ballads,MLTR,R&B,2004,240242,128000,,841,540
14,Help!,1962 1966 (The Red Album),The Beatles,Pop,1973,139063,128000,,618,458
15,Love Me Do,1962 1966 (The Red Album),The Beatles,Pop,1973,141852,128000,,618,458
16,Back In The U.S.S.R.,1967 1970 (The Blue Album),The Beatles,Pop,1973,168734,128000,,619,458
17,Strawberry Fields Forever,1967 1970 (The Blue Album),The Beatles,Pop,1973,250916,128000,,619,458
18,Rapper's Delight (1980),1980-1990's Rap,The Sugarhill Gang,Hip-Hop,1980,456071,192000,,1163,2147
19,Welcome To New York,1989 (Deluxe),Taylor Swift,Pop,2014,215808,320000,,616,79
20,Intro,2014 Forest Hills Drive,J. Cole,Hip-Hop,2014,130391,256000,,249,231
21,Rolling In The Deep,21,Adele,Pop,2011,229093,320000,,477,81
22,Gambler,21 Number Ones,Kenny Rogers,Country,2006,212825,96000,,90,40
23,Song Of The Century,21st Century Breakdown,Green Day,Rock,2009,57835,112295,,996,591
24,Bistose,23,Behzad Leito,Persian,2015,214347,320000,,440,402
25,Hello,25,Adele,Pop,2015,295549,320000,,478,81
26,Aw Shit,28 Grams,Wiz Khalifa,Hip-Hop,2014,201791,224000,,363,149
27,Young Black Male,2Pacalypse Now,2Pac,Hip-Hop,1991,155092,320000,,166,166
28,Intro - Rick Ross,3 Kings,"Rick Ross, Jay-Z, Dr. Dre",Hip-Hop,2012,14987,320000,,343,270
29,Vivir Mi Vida,3. 0,Marc Anthony,Latin,2013,252421,320000,,427,387
30,Follow Me Back To Louisville,30 Classic Tracks,Don Williams,Country,2009,155062,192000,,68,32
31,Capricorn (A Brand New Name),30 Seconds To Mars,30 Seconds To Mars,Alternative Rock,2002,233139,320000,,8,6
32,Not In Love,7,Enrique Iglesias,R&B,2003,223504,320000,,756,495
33,Child In Time,70s Hits,Deep Purple,Collection,1970,614844,320000,,1123,588
34,Hocus Pocus,70s Hits,Focus,Collection,1970,400352,320000,,1123,846
35,It's A Heartache,70s Hits,Bonnie Tyler,Collection,1970,208692,320000,,1123,847
36,Spanish Stroll,70s Hits,Mink De Ville,Collection,1970,216999,320000,,1123,848
37,The Air That I Breathe,70s Hits,"Hollies, The",Collection,1970,244871,320000,,1123,849
38,Lose Yourself,8 Mile,Eminem,Hip-Hop,2002,320417,320000,,210,185
39,The Black Rain,A Beautiful Dystopia,Okera,Doom Metal,2012,564636,320000,,123,151
40,Attack,A Beautiful Lie,30 Seconds To Mars,Alternative Rock,2005,189267,320000,,9,6
41,Ruckus In B Minor,A Better Tomorrow,Wu-Tang Clan,Hip-Hop,2014,325015,320000,,369,282
42,Hold Me Til' The Morning Comes (Ft Peter Cetera),A Body Of Work,Paul Anka,Soul,1998,293214,128000,,1106,708
43,Sos,A Girl Like Me,Rihanna,R&B,2006,240300,320000,,883,452
44,A Hard Day's Night,A Hard Day's Night,The Beatles,Pop,1964,152607,192000,,620,458
45,Des Mots Qui Sonnent,A L'olympia,Celine Dion,R&B,1994,255462,160000,,719,490
46,Under The Sun,A Million Lights (Deluxe Version),Cheryl,Pop,2012,209031,320000,,487,417
47,I`m Alive,A New Day Has Come,Celine Dion,R&B,2002,209658,192000,,720,490
48,Can't Rely on You,A Perfect Contradiction (Deluxe),Paloma Faith,Pop,2014,195030,320000,,567,447
49,Politik,A Rush Of Blood To The Head,Coldplay,Alternative Rock,2002,318667,319075,,15,10
50,We Are What You Say,A Sun Came,Sufjan Stevens,Folk Rock,2000,320052,192000,,396,294
51,The Requiem,A Thousand Suns,Linkin Park,Electronic Rock,2010,122329,320000,,152,156
52,Red Lights,A Town Called Paradise,Tiësto,Electronic,2014,260127,320000,,150,155
53,Round & Round,A Year Without Rain,Selena Gomez,Pop,2010,186253,320000,,598,62
54,Come Together,Abbey Road,The Beatles,Pop,1969,258977,235224,,621,458
55,Good Ass (Intro),Acid Rap,Chance The Rapper,Hip-Hop,2013,239046,320000,,195,178
56,Whataya Want From Me [Version],Acoustic Live!,Adam Lambert,Pop,2010,235546,148067,,469,80
57,Barre,Adia,Oliver N'goma,Rhumba,1996,348316,192000,,1230,2682
58,Who I Am,Afrodisiac,Brandy,R&B,2004,215771,320000,,697,486
59,Start It Up Again,After Hours (Deluxe Version),Timeflies,Pop,2014,195030,320000,,641,462
60,Paint It Black,Aftermath,The Rolling Stones,Rock & Roll,1966,230206,128000,,1071,614
61,Ain't No Mountain High Enough (ft Kelly Rowland),Ain't No Mountain High Enough A Tribute to Hitsville U. S. A.,Michael Bolton,R&B,2013,169613,320000,,837,538
62,Just As I Am,Air Supply,Air Supply,R&B,1985,287804,128000,,647,412
63,Just As I Am,Air Supply,Air Supply,R&B,1985,287804,128000,,647,412
64,All Delighted People [Original Version],All Delighted People EP,Sufjan Stevens,Folk Rock,2010,697555,320000,,397,294
65,Ambitionz Az A Ridah,All Eyez On Me,2Pac,Hip-Hop,2001,278625,320000,,167,166
66,Can't C Me,All Eyez On Me,2Pac,Hip-Hop,2001,330974,320000,,167,166
67,The Best Ever Death Metal Band in Denton,All Hail West Texas,The Mountain Goats,Indie Folk,2002,157022,256000,,390,291
68,My Life Would Suck Without You,All I Ever Wanted,Kelly Clarkson,Pop,2009,215195,192000,,514,437
69,Last Night's Letter,All My Life Their Greatest Hits,K-Ci & Jojo,R&B,2005,277812,192000,,793,529
70,Things That Stop You Dreaming,All The Little Lights,Passenger,Indie Folk,2012,215066,320000,,387,290
71,1973,All The Lost Souls,James Blunt,R&B,2007,241920,136314,,764,521
72,Follow You Home,All The Right Reasons,Niclelback,Rock,2005,260493,190723,,1033,598
73,The Power Of Love,All The Way,Celine Dion,R&B,1999,289032,128000,,721,490
74,All We Know,All We Know is Falling,Paramore,Alternative Rock,2005,193648,320000,,48,21
75,Ain't That a Kick in the Head,Allow Us to Be Frank,Westlife,R&B,2004,146846,160000,,930,572
76,Intro,Altered Ego,Tyrese,R&B,2006,38948,192000,,923,564
77,One,Altered Ego,The Underdogs,R&B,2006,223451,192000,,923,512
78,Do I Wanna Know,AM,Arctic Monkeys,Rock,2013,272436,320000,,968,578
79,Adrenaline,Amaryllis,Shinedown,Rock,2012,207986,320000,,1044,603
80,Irresistible,American Beauty  American Psycho,Fall Out Boy,Alternative Rock,2015,206576,320000,,22,11
81,The Truth [The Intro],American Dream [Death To Your Lies],Sundula Amen X Sam.I.Am Theson,Instrumentals,2012,150099,234314,,409,306
82,Duke's Place,American Freedom,Louis Armstrong & Duke Ellington,Jazz,1961,305234,160000,,419,384
83,American Idiot,American Idiot,Green Day,Rock,2004,174597,320000,,997,591
84,American Life,American Life,Madonna,Pop,2003,297905,320000,,523,441
85,Better Than Today,And So It Goes,Don Williams,Country,2012,186906,192000,,69,32
86,Consideration,ANTI,Rihanna,Pop,2016,161123,256000,,583,452
87,Consideration,ANTI,Rihanna,Pop,2016,161123,256000,,583,452
88,Everything (A.M. Limbo),Any Man in America,Blue October,Rock,2011,99884,192000,,972,582
89,Anytime,Anytime,Brian McKnight,R&B,1997,273684,192000,,704,487
90,Aquarius,Aquarius,Tinashe,R&B,2014,235154,128000,,908,560
91,Jailer,Asa,Asa,Soul,2007,247797,178115,,1094,703
92,Intro,Ashes To Ashes,Rick Ross,Hip-Hop,2010,167950,192000,,337,253
93,Folsom Prison Blues,At Folsom Prison,Johnny Cash,Country,1968,162533,241720,,87,39
94,At Your Inconvenience,At Your Inconvenience,Professor Green,Hip-Hop,2011,213080,255090,,326,261
95,Atlas (From The Hunger Games Catching Fire Soundtrack),Atlas (From The Hunger Games Catching Fire Soundtrack),Coldplay,Alternative Rock,2013,236146,320000,,16,10
96,Let's Talk About Love,Au Coeur Du Stade,Celine Dion,R&B,1999,459766,160000,,722,490
97,Rock N Roll,Avril Lavigne,Avril Lavigne,Rock,2013,208917,320000,,969,579
98,Hawa Hawa,Ayza Aeesh,Samira Said,Hindi,2015,256823,320000,,160,163
99,Hawa Hawa,Ayza Aeesh,Samira Said,Hindi,2015,256823,320000,,160,163
100,Fork,B.O.A.T.S II-Metime (Deluxe Edition),2 Chainz,Hip-Hop,2013,227448,221346,,163,165
101,Last Dance,Back At One And More,Brian McKnight,R&B,2000,284643,192000,,706,487
102,Home,Back Home,Westlife,R&B,2007,211327,160000,,931,572
103,High,Back To Bedlam,James Blunt,R&B,2003,243461,137550,,765,521
104,Do It To Me,Back To Front,Lionel Richie,R&B,1992,358060,320000,,803,504
105,We've Got It Goin' On,Backstreet Boys,Backstreet Boys,R&B,1996,222693,128000,,679,478
106,Quit Playing Games (With My Heart),"Backstreet Boys, Mixed",Backstreet Boys,R&B,1998,23928,320000,,1174,478
107,Intro,Backstreet's Back,Backstreet Boys,R&B,1997,58879,192000,,680,478
108,Bad,Bad,Michael Jackson,Pop,1987,247935,320000,,541,443
109,Victory or Die,Bad Magic,Mötorhead,Hard Rock,2015,279575,192000,,157,160
110,Alleluia,Bakolo Mindule,Mbilia Bel,Rhumba,2011,451331,192000,,1224,2680
111,Bring It On,Band of Brothers,Willie Nelson,Oldies,2014,174027,320000,,437,401
112,Alphonsine,Bane,Oliver N'goma,Rhumba,2001,371722,192000,,1231,2682
113,Bang!zoom,Bang!Zoom,Bobby McFerrin,Jazz,1995,333766,197153,,412,1
114,Right In,Bangarang,Skrillex,Electronic,2012,180532,320000,,144,153
115,Adore You,Bangerz,Miley Cyrus,Pop,2013,278804,320000,,559,444
116,Baptized,Baptized (Deluxe Edition),Daughtry,Rock,2013,191660,263479,,983,419
117,On My Own,BarlowGirl,BarlowGirl,Rock,2004,241266,320000,,971,581
118,Constantly Hating (feat. Birdman),Barter 6,Young Thug,Hip-Hop,2015,267049,320000,,374,242
119,Constantly Hating (feat. Birdman),Barter 6,Young Thug,Hip-Hop,2015,267049,320000,,374,242
120,Flesh and Bone,Battle Born (Deluxe Edition),The Killers,Rock,2012,238837,320000,,1058,286
121,"Work Feat. Casey Veggies, Twis",Beach House,Ty Dolla $ign,Hip-Hop,2014,432836,320000,,351,278
122,Southwestern Territory,Beat the Champ,The Mountain Goats,Indie Folk,2015,256754,256000,,391,291
123,Why Can't We,Beautiful Imperfection,Asa,Soul,2010,221335,320000,,1095,703
124,Real Life,Beauty Behind the Madness,The Weeknd,R&B,2015,223033,320000,,905,558
125,Because of You,Because of You,Ne-Yo,R&B,2007,266788,320000,,854,543
126,Survival,Bedtime Stories,Madonna,Pop,1994,211440,320000,,524,441
127,The Invitation,Before I Self Destruct,50 Cent,Hip-Hop,2009,174503,320000,,180,167
128,Counterfeit (ft Rihanna Wiz Khalifa & Kelly ),Before The Party,Chris Brown,Hip-Hop,2015,279215,256000,,197,53
129,Beg For Mercy,Beg For Mercy,Adam Lambert,Pop,2011,180062,320000,,470,80
130,Black Eyed Peas - Fallin Up ,Behind The Front,Black Eyed Peas,Funk,1998,309838,248905,,154,157
131,Believe,Believe,Cher,Soul,1998,239913,320000,,1098,704
132,All Around the World (ft Ludacris),Believe,Justin Bieber,R&B,2012,244934,192000,,788,435
133,Boyfriend,Believe Acoustic,Justin Bieber,Pop,2013,187715,206314,,510,435
134,Mwafaka (ft Baby J),Bembeleza,Marlaw,Swahili,2007,289985,192000,,1192,2521
135,Ben,Ben,Michael Jackson,Pop,1972,166426,320000,,542,443
136,Second Hand Heart (feat. Kelly Clarkson),Ben Haenow (Deluxe),Ben Haenow,Pop,2015,243029,256000,,482,414
137,Crystals,Beneath the Skin,Of Monsters and Men,Indie Folk,2015,243565,320000,,385,289
138,Ballade Pour Adeline,Best 100 Instrumental Songs,Richard Clayderman,Instrumentals,2005,159059,320000,,410,308
139,Bohemian Rhapsody,Best Number One Singles In The,Queen,Collection,2004,358295,192000,,1157,932
140,Nothing Compares 2 U,Best Number One Singles In The,Sinead O'Connor,Collection,2004,301923,192000,,1157,1989
141,Escape (Into The Sunset) (ft Una),Best Of 2016,Quintino,Dance,2016,187334,320000,,121,56
142,Billie Jean (March 1983),Best Of 80s,Michael Jackson,Collection,1983,295042,192000,,1124,443
143,Lm3allem,Best Of Saad Lamjarred,Saad Lamjarred,Hindi,2016,239733,320000,,159,162
144,Lm3allem,Best Of Saad Lamjarred,Saad Lamjarred,Hindi,2016,239733,320000,,159,162
145,Heaven Knows (Daniele Cucinotta Remix) (Jerem A & Desi),Best Summer 99 Smiles,Bruno Kauffmann,House,2015,378566,320000,,1164,2149
146,In the Meantime,Better Day,Dolly Parton,Country,2011,246491,320000,,65,31
147,Intro,Better Dayz,2Pac,Hip-Hop,2002,55852,320000,,168,166
148,My Block (Remix),Better Dayz,2Pac,Hip-Hop,2002,322667,320000,,168,166
149,Set Me On Fire,Between The Stars,Flyleaf,Alternative Rock,2014,104387,716459,,25,12
150,Set Me On Fire,Between The Stars,Flyleaf,Metal,2014,104387,716459,,25,12
151,Love Is(ft Vannessa Williams),Beverly Hills 90210 (soundtrack),Brian McKnight,R&B,1993,284620,128000,,707,487
152,Beyanga,Beyanga,Mbilia Bel,Rhumba,1994,566282,192000,,1225,2680
153,Pretty Hurts,Beyonce [Platinum Edition],Beyonce,Pop,2014,257776,320000,,483,415
154,Invocation,Beyond Words,Bobby McFerrin,Jazz,2002,472458,256000,,413,1
155,Don't Be Cruel,Billboard 1956,Elvis Presley,Collection,1956,121126,112000,,1125,613
156,Love Letters In The Sand,Billboard 1957,Pat Boone,Collection,1957,139196,128000,,1126,1013
157,It's All In The Game,Billboard 1958,Tommy Edwards,Collection,1958,159662,128000,,1127,1127
158,Mack The Knife,Billboard 1959,Bobby Darin,Collection,1959,188230,128000,,1128,1152
159,Bobby Lewis - Tossin' And Turnin',Billboard 1961,Bobby Lewis,Collection,1961,156792,128000,,1129,1232
160,Raindrops Keep Falling On My Head,Billboard 1970,B. J. Thomas,Collection,1970,182821,128000,,1130,1291
161,Maggie May,Billboard 1971,Rod Stewart,Collection,1971,311644,128000,,1131,1362
162,American Pie,Billboard 1972,Don McLean,Collection,1972,512328,128000,,1132,1415
163,Tie A Yellow Ribbon,Billboard 1973,Tony Orlando & Dawn,Collection,1973,202227,160000,,1133,1308
164,The Way We Were,Billboard 1974,Barbara Streisand,Collection,1974,211088,128000,,1134,1514
165,Rhinestone Cowboy,Billboard 1975,Glen Campbell,Collection,1975,196750,128000,,1135,1560
166,Tonights The Night,Billboard 1976,Rod Stewart,Collection,1976,236559,128000,,1136,1362
167,You light up my life,Billboard 1977,Debby Boone,Collection,1977,215342,128000,,1137,1639
168,Le Freak,Billboard 1978,1978,Collection,1978,260282,128000,,1138,1683
169,Hot Stuff,Billboard 1979,Donna Summer,Collection,1979,402204,128000,,1139,1609
170,Hot Stuff,Billboard 1979,Donna Summer,Collection,1979,402204,128000,,1139,1609
171,Another One Bites t,Billboard 1980,Queen,Collection,1980,261408,128000,,1140,932
172,Another One Bites t,Billboard 1980,Queen,Collection,1980,261408,128000,,1140,932
173,Physical,Billboard 1981,Olivia Newton John,Collection,1981,225680,128000,,1141,938
174,Physical,Billboard 1981,Olivia Newton John,Collection,1981,225680,128000,,1141,938
175,Careless Whisper,Billboard 1985,Wham,Collection,1985,392844,128000,,1142,1812
176,Careless Whisper,Billboard 1985,Wham,Collection,1985,392844,128000,,1142,1812
177,Thats What Friends Are For,Billboard 1986,Dionne Warwick,Collection,1986,256356,128000,,1143,1345
178,Thats What Friends Are For,Billboard 1986,Dionne Warwick,Collection,1986,256356,128000,,1143,1345
179,Faith,Billboard 1987,George Michael,Collection,1987,254158,128000,,1144,962
180,Faith,Billboard 1987,George Michael,Collection,1987,254158,128000,,1144,962
181,Need You Tonight,Billboard 1988,INXS,Collection,1988,184443,128000,,1145,984
182,Need You Tonight,Billboard 1988,INXS,Collection,1988,184443,128000,,1145,984
183, Another day in paradise,Billboard 1989,Phill Collins,Collection,1989,316568,128000,,1146,1823
184, Another day in paradise,Billboard 1989,Phill Collins,Collection,1989,316568,128000,,1146,1823
185, Love Takes Time,Billboard 1990,Mariah Carey,Collection,1990,227979,128000,,1147,535
186, Love Takes Time,Billboard 1990,Mariah Carey,Collection,1990,227979,128000,,1147,535
187, Everything I Do,Billboard 1991,Bryan Adams,Collection,1991,394141,128000,,1148,489
188, Everything I Do,Billboard 1991,Bryan Adams,Collection,1991,394141,128000,,1148,489
189, Dreamlover,Billboard 1993,Mariah Carey,Collection,1993,233796,128000,,1150,535
190, Dreamlover,Billboard 1993,Mariah Carey,Collection,1993,233796,128000,,1150,535
191, I'll Make Love To You,Billboard 1994,Boys II Men,Collection,1994,238252,128000,,1151,2034
192, I'll Make Love To You,Billboard 1994,Boys II Men,Collection,1994,238252,128000,,1151,2034
193, One Sweet Day (ft Mariah Carey),Billboard 1995,Boyz II Men,Collection,1995,282668,128000,,1152,485
194, One Sweet Day (ft Mariah Carey),Billboard 1995,Boyz II Men,Collection,1995,282668,128000,,1152,485
195, Macarena(baysaide boys mix),Billboard 1996,Los Del Rio,Collection,1996,234091,128000,,1153,2073
196, Macarena(baysaide boys mix),Billboard 1996,Los Del Rio,Collection,1996,234091,128000,,1153,2073
197, Candle in the Wind (Princess Diana version),Billboard 1997,Elton John,Collection,1997,247839,128000,,1154,494
198, Candle in the Wind (Princess Diana version),Billboard 1997,Elton John,Collection,1997,247839,128000,,1154,494
199, I Don't Want To Miss A Thing,Billboard 1998,Aerosmith,Collection,1998,299241,128000,,1155,997
200, I Don't Want To Miss A Thing,Billboard 1998,Aerosmith,Collection,1998,299241,128000,,1155,997
201, Angel of Mine,Billboard 1999,Monica,Collection,1999,249231,128000,,1156,541
202, Angel of Mine,Billboard 1999,Monica,Collection,1999,249231,128000,,1156,541
203,Hope (ft. Ty Dolla $ign),Blacc Hollywood (Deluxe Version),Wiz Khalifa,Hip-Hop,2014,326712,320000,,364,149
204,The Call,Black and Blue,Backstreet Boys,R&B,2000,204840,128000,,681,478
205,If You Can't Rock Me,Black and Blue,The Rolling Stones,Rock & Roll,1976,226889,128000,,1073,614
206,Foreclosures,Black Dollar,Rick Ross,Hip-Hop,2015,255712,320000,,338,253
207,Legs Shakin' (ft Ludacris),Black Panties,R. Kelly,R&B,2013,269891,320000,,877,549
208,Addict,Black Rose,Tyrese,R&B,2015,225004,320000,,924,564
209,Against the Wind,Blame It All on My Roots Five Decades of Influences,Garth Brooks,Country,2013,290115,320000,,74,34
210,Black Water,Blame It All on My Roots Five Decades of Influences,Garth Brooks,Country,2013,250253,320000,,74,34
211,Great Balls of Fire,Blame It All on My Roots Five Decades of Influences,Garth Brooks,Country,2013,120006,320000,,74,34
212,I Heard It Through the Grapevine,Blame It All on My Roots Five Decades of Influences,Garth Brooks,Country,2013,212793,320000,,74,34
213,Bigger Than Me,Blood Moon Year Of The Wolf,The Game,Hip-Hop,2014,332676,320000,,347,275
214,Blood on the Dance Floor,Blood on the Dance Floor HIStory in the Mix,Michael Jackson,Pop,1997,253074,256000,,543,443
215,Barriers,Bloodsports,Suede,Rock,2013,222511,320000,,1051,606
216,Blue Smoke,Blue Smoke,Dolly Parton,Country,2014,213838,255902,,66,31
217,Heavydirtysoul,Blurryface,Twenty One Pilots,Indie Pop,2015,234866,256000,,1204,2640
218,Heavydirtysoul,Blurryface,Twenty One Pilots,Pop,2015,234866,256000,,1204,2640
219,Ballad Of Davy Crockett 1955,"Bob Nolan, archive.org",Bob Nolan,Oldies,1955,142404,128000,,435,395
220,Dance with Me,Bobby McFerrin,Bobby McFerrin,A Cappella,1982,248769,192000,,1,1
221,Some Bobby,Bobby Valentino,Bobby V,R&B,2005,35657,320000,,691,483
222,Geronimo,Bombs Away!,Sheppard,Pop,2015,218357,320000,,609,455
223,Vesper's Song,BombShell,Hydrogyn,Rock,2006,262541,192000,,1002,592
224,Stand Up,Bookmarks,Five For Fighting,Pop,2013,172848,320000,,498,424
225,Villuminati,Born Sinner,J. Cole,Hip-Hop,2013,307931,320000,,250,231
226,Villuminati,Born Sinner (Deluxe Version),J. Cole,Hip-Hop,2013,309199,320000,,251,231
227,Born to Die,Born to Die (Deluxe Version),Lana Del Rey,Alternative Rock,2012,286040,320000,,42,17
228,Boya Ye,Boya Ye,Mbilia Bel,Rhumba,1985,455235,192000,,1226,2680
229,Careful,Brand New Eyes,Paramore,Rock,2009,230530,192000,,1035,21
230,Movin' On,Brandy,Brandy,R&B,1994,268120,320000,,698,486
231,Intro - Braveheart,Braveheart (Deluxe Edition),Ashanti,R&B,2014,323056,320000,,665,472
232,Intro - Braveheart,Braveheart (Deluxe Edition),Ashanti,R&B,2014,323056,320000,,665,472
233,Renegade,Break The Spell,Daughtry,Rock,2011,215797,274308,,984,419
234,Renegade,Break the Spell (Deluxe Version),Daughtry,Rock,2011,215849,320000,,985,419
235,Breakout,Breakout,Miley Cyrus,Pop,2008,207306,320000,,560,444
236,The Joy Of Life,Breathless,Kenny G,R&B,1992,257602,192000,,798,314
237,The Joy Of Life,Breathless,Kenny G,R&B,1992,257602,192000,,798,314
238,Nothing Stands in Our Way,Broken Crown Halo,Lacuna Coil,Alternative Rock,2014,247170,320000,,33,16
239,Valhalla,B-sides & Rarities,30 Seconds To Mars,Alternative Rock,2002,292251,320000,,10,6
240,"Cadillac, Cadillac",Bulletproof Picasso,Train,Alternative Rock,2014,203154,320000,,58,27
241,Honey,Butterfly,Mariah Carey,R&B,1997,301383,320000,,821,535
242,C.U.B.A (Original Mix),C.U.B.A Single,Calvin Harris,Electronic,2014,269035,320000,,130,89
243,Come On Over,"Call Me Crazy, But… (EP)",Sevyn Streeter,R&B,2013,258847,256000,,894,217
244,Day-O,Calypso,Harry Belafonte,Calypso,1955,184215,172976,,61,29
245,Liberty Walk,Can't Be Tamed,Miley Cyrus,Pop,2010,247309,320000,,561,444
246,Can't Slow Down,Can't Slow Down,Lionel Richie,R&B,1983,284368,320000,,804,504
247,Ba Gerants Ya Mabala,Cantos Essentials,Mbilia Bel,Rhumba,2011,453668,192000,,1227,2680
248,Careless World,Careless World (Deluxe Edition),Tyga,Hip-Hop,2012,15434,3074126,,353,279
249,Death With Dignity,Carrie & Lowell,Sufjan Stevens,Folk Rock,2015,239575,320000,,398,294
250,Intro (Rich Gang Diss),Cartality,Lil Wayne,Hip-Hop,2015,17131,256000,,281,238
251,Celebration,Celebrate,Kool And The Gang,Soul,1980,298288,320000,,1099,705
252,Hung Up,Celebration (Deluxe),Madonna,Pop,2009,336854,320000,,525,441
253,Introduction,Celine Dion,Celine Dion,R&B,1992,75351,192000,,725,490
254,Centuries,Centuries Single,Fall Out Boy,Alternative Rock,2014,231053,320000,,23,11
255,Only If for a Night,Ceremonials,Florence + the Machine,Pop,2011,298501,262687,,499,425
256,C'est Pour Toi,C'est Pour Toi,Celine Dion,R&B,1985,245382,192000,,723,490
257,Mon Ami M'a Quittée,C'est Pour Vivre,Celine Dion,R&B,1997,182137,160000,,724,490
258,Glory Alleluia,Chante Noel,Celine Dion,R&B,1981,216726,192000,,726,490
259,Un Enfant,Chants Et Contes De Noel,Celine Dion,R&B,1983,179418,192000,,727,490
260,Bad Seed Rising,Charm City,Bad Seed Rising,Punk Rock,2015,197640,439936,,645,467
261,Through the Rain,Charmbracelet,Mariah Carey,R&B,2002,290045,320000,,822,535
262,The Child With the Star On His Head (prod. by John Dieterich of Deerhoof),CHOPPED & SCROOGED,Das Racist,Folk Rock,2012,332508,320000,,399,295
263,Intro,Chris Brown,Chris Brown,R&B,2005,57051,320000,,746,53
264,Don't Judge Me,Chris Brown Singles,Chris Brown,R&B,2012,240065,320000,,747,53
265,Last Christmas,Christmas Kisses EP,Ariana Grande,Pop,2014,208635,320000,,480,413
266,After All,Chronicles,Peter Cetera,R&B,1980,248908,128000,,863,544
267,Body Part,Ciara,Ciara,R&B,2013,239461,320000,,751,491
268,Cinderella,Cinderella,Alikiba,Swahili,2009,254981,192000,,1190,2519
269,Circlesong One,Circlesongs,Bobby McFerrin,A Cappella,1997,373278,128000,,2,1
270,Hourglass (Feat. LIZ),Clarity,Zedd,Electronic Rock,2013,313103,320000,,153,145
271,Paradise (ft Dyro),"Club Life, Vol. 3 Stockholm",Tiësto,Electronic,2013,314723,320000,,151,155
272,My Love,Coast to Coast,Westlife,R&B,2000,236865,160000,,932,572
273,Coat of Many Colors,Coat of Many Colors,Dolly Parton,Country,1971,186383,229269,,67,31
274,18 and over,Coco Tea (1991 - 2001),Coco Tea,Reggaeton,1991,216606,128000,,1205,2641
275,Chant Them Down,Coco Tea (1991 - 2001),Coco Tea,Reggaeton,1991,233371,128000,,1205,2641
276,First Time (Feat. Puff Daddy),Coke Zoo,French Montana & Fetty Wap,Hip-Hop,2015,151699,320000,,236,204
277,Intro,Cole World The Sideline Story,J. Cole,Hip-Hop,2011,86891,320000,,252,231
278,Animals (Original Mix),Collection,Martin Garrix,Electronic,2014,304300,320000,,142,130
279,Fast Car,Collection,Tracy Chapman,R&B,2001,298997,320000,,913,562
280,Dedication,Collegrove,2 Chainz,Hip-Hop,2016,300016,320000,,165,165
281,Me Myself and I,Collide,Boyz II Men,R&B,2014,195560,320000,,695,485
282,Dirt Off Your ShoulderLying From Me,Collision Course,Jay-Z,Hip-Hop,2004,244741,224757,,259,232
283,Drones (ft Linkin Park),Collision Course 3,Eminem & Linkin Park,Hip-Hop,2014,171526,320000,,211,186
284,"Intro, Breaking The Habit, Not Afraid",Collision Course II,Eminem & Linkin Park,Hip-Hop,2012,369683,320000,,212,186
285,Rewrite,Colour The Small One,Sia,Pop,2005,286014,320000,,611,74
286,Wild Women,Colours,MLTR,R&B,2003,225241,128000,,843,540
287,Swamped,Comalies,Lacuna Coil,Alternative Rock,2002,241566,320000,,34,16
288,The End,Come Around Sundown,Kings Of Leon,Rock,2010,264077,320000,,1006,593
289,Dark Moon,Come Intro My World Vol. 3,Jim Reeves,Country,2013,161306,192000,,79,37
290,Man! I Feel Like A Woman!,Come On Over,Shania Twain,R&B,1997,233012,270926,,895,553
291,I Call it Love,Coming Home,Lionel Richie,R&B,2006,199157,128000,,805,504
292,Hung Up,Confessions On A Dance Floor,Madonna,Pop,2005,337612,320000,,526,441
293,Confident,Confident,Demi Lovato,Pop,2015,205818,320000,,491,420
294,Waiting On The World To Change,Continuum,John Mayer,Rock,2006,201221,192978,,1216,2656
295,The Seed,"Country, God or the Girl (Deluxe Edition)",K'Naan,Hip-Hop,2012,215849,128006,,264,234
296,Fix You (feat Tyler Ward),"Cover Collaborations, Vol. 2 EP",Boyce Avenue,R&B,2011,294060,320000,,694,484
297,Rudie,Cover Up,UB40,Reggaeton,2002,267990,320000,,945,576
298,That's My Kind of Night,Crash My Party,Luke Bryan,Country,2013,190229,320000,,100,44
299,Alpha,Creation,Psychoprism,Metal,2016,60081,320000,,1212,2652
